beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.13999999999999999,0.21000000000000002,2.0966242709015206,0.4564354645876384,1.3330822093791463e-05,-0.8870877585243153,-0.16012084592145,-0.1638489754267909,-0.1111111111111111,0.0019996166229248,4,10,3.0,2.0,1.0,1,4,48,4
0.13999999999999999,0.22000000000000003,1.2950225223266711,0.2282177322938192,5.626917928658511e-06,0.2937305794187531,-0.0549450549450545,0.5724452942426174,0.1134751773049645,0.0034854412078857,4,10,4.0,1.0,0.0,1,4,4,4
0.13999999999999999,0.23000000000000004,0.478713553878169,0.0,5.375791057465519e-06,0.8487864251449846,1.0,0.9428927421866888,1.0,0.0019998550415039,4,10,6.0,1.0,0.0,1,4,3,4
0.13999999999999999,0.24000000000000005,0.3679900360969936,0.1443375672974064,5.47593588545478e-06,0.7203674658301592,-0.0212765957446807,0.9359574363269126,-0.0204081632653068,0.0020017623901367,4,10,3.0,1.0,0.0,1,4,9,4
0.13999999999999999,0.25000000000000006,0.7288689868556626,0.3227486121839514,7.840203373070655e-06,0.8015242419328685,-0.0714285714285714,0.8943902590544822,-0.0683760683760685,0.0020027160644531,4,10,6.0,2.0,0.0,1,4,6,4
0.13999999999999999,0.3200000000000001,0.8599903100229289,0.3061862178478972,9.0916580288058e-06,0.5477406940481722,-0.0601226993865031,0.8075411346940988,-0.0575793184488839,0.0020020008087158,4,10,6.0,2.0,0.0,1,4,26,4
0.13999999999999999,0.3300000000000001,1.3768926368215255,0.3952847075210474,6.460858932440059e-06,0.0610490111779881,-0.0917361637604248,0.5052196607220529,-0.0877447425670772,0.002000093460083,4,10,4.0,2.0,0.0,1,4,16,4
0.13999999999999999,0.34000000000000014,0.3227486121839514,0.1020620726159657,5.375791057465519e-06,0.8659966499162479,-0.0105263157894739,0.9645390070921986,0.8287671232876712,0.002000093460083,4,10,4.0,2.0,0.0,1,4,4,4
0.13999999999999999,0.36000000000000015,2.557668208870468,0.6454972243679028,7.178898311679363e-06,-1.76702772168166,-0.43070044709389,-0.8904843613594631,-0.4064697609001408,0.0019996166229248,4,10,5.0,2.0,0.0,1,4,63,4
0.13999999999999999,0.3900000000000002,1.0358169078880044,0.1020620726159657,5.463484275504903e-06,-0.7809798270893364,0.4893617021276596,0.5862789203084833,0.6563573883161513,0.0019974708557128,4,10,5.0,1.0,1.0,1,4,3,4
0.13999999999999999,0.4400000000000002,2.8975564417856186,0.4894725051862804,5.375791057465519e-06,-12.008742434431737,-22.2421052631579,-1.7160909856781803,-6.903780068728519,0.002000093460083,4,10,9.0,1.0,2.0,1,99,2,98
